Ticker , Company,FY End,Revenue FY ($M),Revenue FY-1 ($M),Revenue FY-2 ($M),Op Income ($M),Net Income ($M),D&A ($M),Cash ($M),Total Debt ($M),Shares (M),Price ($),Price As Of,Unit,Notes
AAPL,Apple Inc.,2025-09-27,"416,161.0","391,035.0","383,285.0",133050.0,112010.0,11698.0,39544.0,84344.0,14594.2,309.35,2026-08-21,USD_M,from 10-K
MSFT,MICROSOFT CORP,2026-06-30,"331,839.0","281,724.0","245,122.0",155237.0,133749.0,34300.0,20935.0,40294.0,7425.5,483.24,2026-08-21,USD_M,
MSFT,MICROSOFT CORP,2026-06-30,"331,839.0","281,724.0","245,122.0",155237.0,133749.0,34300.0,20935.0,40294.0,7425.5,483.24,2026-08-21,USD_M,
NVDA,NVIDIA CORP,2026-01-25,"215,938.0","130,497.0","60,922.0",130387.0,120067.0,2843.0,13237.0,8470.0,24200.0,214.72,2026-08-21,USD_M,
GOOGL,Alphabet Inc.,2025-12-31,"402,836.0","350,018.0","307,394.0",129039.0,132170.0,21136.0,55911.0,100164.0,12230.0,344.82,2026-08-21,USD_M,from 10-K
AMZN,AMAZON COM INC,2025-12-31,"716,924.0","637,959.0","574,785.0",79975.0,77670.0,,78213.0,132995.0,10786.3,258.63,2026-08-21,USD_M,
META,"Meta Platforms, Inc.",2025-12-31,201.0,164.5,134.9,83.276,60.458,18.616,15.462,83.664,2.574,549.9,2026-08-21,USD_B,
AMD,ADVANCED MICRO DEVICES INC,2025-12-27,"34,639.0","25,785.0","22,680.0",3694.0,4335.0,521.0,5086.0,3226.0,1632.5,473.25,2026-08-21,USD_M,
INTC,INTEL CORP,2025-12-27,"52,853.0","53,101.0","54,228.0",-2214.0,-267.0,10757.0,12874.0,48549.0,5044.0,90.07,2026-08-21,USD_M,
CRM,"Salesforce, Inc.",2026-01-31,"41,525.0","37,895.0","34,857.0",8331.0,,1200.0,8935.0,39280.0,819.0,209.17,2026-08-21,USD_M,from 10-K
orcl ,ORACLE CORP,2026-05-31,"67,357.0","57,399.0","52,961.0",20606.0,17087.0,7623.0,31289.0,129541.0,2880.5,146.47,2026-08-21,USD_M,
TOTAL,,,"2,481,038.0",,,,,,,,,,,,
